"canonical,alt,abbr"
"Scorpion,,"
"Scuba,,"
"Seawitch,,"
"Sharpshooter,,"
"Shrek,,"
"Silverball Mania,SM,"
"The Simpsons (Data East),Simpsons,"
"Sinbad,SB,SB"
"Six Million Dollar Man,SixMil,"
"Skateball,,"
"South Park,SouthPark,"
"Space Invaders,SpaceInvaders,"
"Space Jam,SpaceJam,"
"Space Shuttle,SpaceShuttle,"
"Space Station,SpaceStation,"
"Speak Easy,SpeakEasy,"
"Special Force,SpecialForce,"
"Spider-Man,Spiderman,"
"Spy Hunter,SpyHunter,"
"Star Gazer,SG,SG"
"Star Race,,"
"Star Trek (Bally),BallyTrek,"
"Star Trek (Data East),StarTrek,"
"Star Trek (Stern),StarTrek,"
"Star Trek: The Next Generation,,STTNG"
"Star Trip,StarTrip,"
"Star Wars (Data East),StarWars,"
"Star Wars (Sega),StarWarsSega,"
"Star Wars (Stern),SternWars,"
"Star Wars Episode I,StarWarsE1,"
"Star Wars: Fall of the Empire,SWFOTE,"
"Stargate,,"
"Stars,,"
"Starship Troopers,Troopers,"
"Stellar Wars,StellarWars,"
"Stern Indiana Jones,Skindy,"
"Stern Jurassic Park,SternPark,"
"NBA (Stern),NBA Stern,"
"Strange Science,StrangeScience,"
"Stranger Things,StrangerThings,"
"Street Fighter 2,SF2,SF2"
"Strikes and Spares,SNS,SNS"
"Super Mario Mushroom World,MarioMushroom,"
"Superman,,"
"Supersonic,,"
"Surf ’n Safari,SurfNSafari,"
"Surf Champ,SurfChamp,"
"Swords Of Fury,SoF,SoF"
"Tag Team,TagTeam,"
"Tales From the Crypt,TFTC,TFTC"
"Tales of the Arabian Nights,TOTAN,TOTAN"
"Target Alpha,,"
"Taxi,,"
"Teenage Mutant Ninja Turtles (Data East),TMNT,TMNT"
"Teenage Mutant Ninja Turtles (Stern),STMNT,STMNT"
"Terminator 2,T2,T2"
"Terminator 3,T3,T3"
"Texas Chainsaw Massacre,TCM,TCM"
"The Addams Family,TAF,TAF"
"The Big Lebowski,TBL,TBL"
"The Hobbit,Hobbit,"
"The Shadow,Shadow,"
"The Simpsons Pinball Party,TSPP,TSPP"
"The Sopranos,Sopranos,"
"The Walking Dead,TWD,TWD"
"Theatre of Magic,TOM,TOM"
"Time Warp,TW,TW"
"Toledo,,"
"Tommy,,"
"Torpedo Alley,Torpedo,"
"Total Nuclear Annihilation,TNA,TNA"
"Toy Story,TS,TS"
"Transformers,TF,TF"
"Transporter The Rescue,Transporter,"
"Tron,,"
"Truck Stop,TruckStop,"
"Twilight Zone,TZ,TZ"
"Ultraman,ULTRA,"
"Uncanny X-Men,UXMEN,UXMEN"
"Venom,VEN,VEN"
"Viking,,"
"Viper Night Drivin’,Viper,"
"WWE Wrestlemania,WWE,WWE"
"Waterworld,Waterworld,"
"Wheel of Fortune,WOF,WOF"
"Whirlwind,,"
"White Water,Whitewater,"
"Who Dunnit,WhoDunnit,"
"Whoa Nellie,WhoaNellie,"
"Wild Fyre,WildFyre,"
"Willy Wonka,Wonka,"
"Wizard of Oz,WOZ,WOZ"
"World Cup Soccer,WCS,WCS"
"World Poker Tour,WPT,WPT"
"X-Files,XFiles,"
"X-Men (Stern),XMen,"
"Xenon,,"
